mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.0006322383880615235,0.0005195136877743812,0.0,0.0,1,10,l1,"{'C': 1, 'max_iter': 10, 'penalty': 'l1'}",,,,,,,,,,,,,28,,,,,,,,,,,,,28,,,,,,,,,,,,,28,,,,,,,,,,,,,28,,,,,,,,,,,,,28
0.005513334274291992,0.0008893247082265545,0.007403254508972168,0.0008200198864197523,1,10,l2,"{'C': 1, 'max_iter': 10, 'penalty': 'l2'}",0.6666666666666666,0.5943181818181819,0.7670454545454545,0.6897727272727272,0.7424242424242424,0.6468531468531468,0.7377622377622377,0.5186480186480187,0.6899766899766899,0.5128205128205129,0.6566287878787878,0.08493785182692296,15,0.6428571428571429,0.46153846153846156,0.6,0.5454545454545454,0.5333333333333333,0.375,0.6153846153846154,0.5,0.8571428571428571,0.5,0.5630710955710956,0.12319686640899644,15,0.391304347826087,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.36363636363636365,0.13636363636363635,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.3073122529644269,0.10948420397494275,8,0.4864864864864865,0.3428571428571428,0.5714285714285713,0.3636363636363636,0.43243243243243246,0.19999999999999998,0.4571428571428572,0.3529411764705882,0.41379310344827586,0.26666666666666666,0.38873848005693845,0.10231656681739876,8,0.6935483870967742,0.6290322580645161,0.7096774193548387,0.6612903225806451,0.6557377049180327,0.6065573770491803,0.6885245901639344,0.639344262295082,0.7213114754098361,0.639344262295082,0.6644368059227921,0.03557738487295049,8
0.0007985591888427735,0.0005543432252608478,0.0,0.0,1,20,l1,"{'C': 1, 'max_iter': 20, 'penalty': 'l1'}",,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,,,,,,,,,40,,,,,,,,,,,,,40
0.0068547725677490234,0.0014663907563057497,0.008123373985290528,0.0013245630329856112,1,20,l2,"{'C': 1, 'max_iter': 20, 'penalty': 'l2'}",0.6577480490523968,0.6488636363636363,0.7704545454545455,0.7000000000000001,0.7412587412587414,0.6247086247086246,0.7400932400932402,0.5594405594405595,0.6794871794871794,0.5291375291375291,0.6651192104996453,0.07453023692975533,8,0.7692307692307693,0.46153846153846156,0.6111111111111112,0.5454545454545454,0.5625,0.42857142857142855,0.6428571428571429,0.36363636363636365,0.75,0.5,0.5634899822399823,0.12592776052636656,8,0.43478260869565216,0.2727272727272727,0.5,0.2727272727272727,0.4090909090909091,0.13636363636363635,0.4090909090909091,0.18181818181818182,0.13636363636363635,0.22727272727272727,0.2980237154150197,0.1249905869067411,15,0.5555555555555555,0.3428571428571428,0.55,0.3636363636363636,0.47368421052631576,0.20689655172413793,0.5000000000000001,0.24242424242424246,0.23076923076923075,0.3125,0.37783232974929887,0.1265759938691859,15,0.7419354838709677,0.6290322580645161,0.7096774193548387,0.6612903225806451,0.6721311475409836,0.6229508196721312,0.7049180327868853,0.5901639344262295,0.6721311475409836,0.639344262295082,0.6643574828133263,0.04352056455042586,15
0.000841069221496582,0.0005693804571805744,0.0,0.0,1,30,l1,"{'C': 1, 'max_iter': 30, 'penalty': 'l1'}",,,,,,,,,,,,,39,,,,,,,,,,,,,39,,,,,,,,,,,,,39,,,,,,,,,,,,,39,,,,,,,,,,,,,39
0.009429359436035156,0.0013284829059150927,0.00878608226776123,0.0011379468433260621,1,30,l2,"{'C': 1, 'max_iter': 30, 'penalty': 'l2'}",0.705685618729097,0.634090909090909,0.7522727272727272,0.7034090909090909,0.7400932400932401,0.6585081585081586,0.6993006993006994,0.5326340326340326,0.7039627039627039,0.5641025641025641,0.6694059744603222,0.0689820001351747,7,0.7857142857142857,0.5454545454545454,0.6111111111111112,0.5833333333333334,0.625,0.6666666666666666,0.5625,0.35294117647058826,0.6666666666666666,0.5,0.5899387785417198,0.10900098921484114,1,0.4782608695652174,0.2727272727272727,0.5,0.3181818181818182,0.45454545454545453,0.36363636363636365,0.4090909090909091,0.2727272727272727,0.36363636363636365,0.22727272727272727,0.3660079051383399,0.08899339174782402,1,0.5945945945945946,0.3636363636363636,0.55,0.4117647058823529,0.5263157894736842,0.4705882352941177,0.47368421052631576,0.30769230769230765,0.4705882352941177,0.3125,0.4481364442393854,0.09283534105807908,1,0.7580645161290323,0.6612903225806451,0.7096774193548387,0.6774193548387096,0.7049180327868853,0.7049180327868853,0.6721311475409836,0.5573770491803278,0.7049180327868853,0.639344262295082,0.6790058170280275,0.050926973842720685,1
0.0007895469665527344,0.0005420495049405293,0.0,0.0,2,10,l1,"{'C': 2, 'max_iter': 10, 'penalty': 'l1'}",,,,,,,,,,,,,38,,,,,,,,,,,,,38,,,,,,,,,,,,,38,,,,,,,,,,,,,38,,,,,,,,,,,,,38
0.005750727653503418,0.0010481536750226023,0.008728456497192384,0.0014390725808145644,2,10,l2,"{'C': 2, 'max_iter': 10, 'penalty': 'l2'}",0.6666666666666666,0.5943181818181819,0.7670454545454545,0.6897727272727272,0.7424242424242424,0.6468531468531468,0.7377622377622377,0.5186480186480187,0.6899766899766899,0.5128205128205129,0.6566287878787878,0.08493785182692296,15,0.6428571428571429,0.46153846153846156,0.6,0.5454545454545454,0.5333333333333333,0.375,0.6153846153846154,0.5,0.8571428571428571,0.5,0.5630710955710956,0.12319686640899644,15,0.391304347826087,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.36363636363636365,0.13636363636363635,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.3073122529644269,0.10948420397494275,8,0.4864864864864865,0.3428571428571428,0.5714285714285713,0.3636363636363636,0.43243243243243246,0.19999999999999998,0.4571428571428572,0.3529411764705882,0.41379310344827586,0.26666666666666666,0.38873848005693845,0.10231656681739876,8,0.6935483870967742,0.6290322580645161,0.7096774193548387,0.6612903225806451,0.6557377049180327,0.6065573770491803,0.6885245901639344,0.639344262295082,0.7213114754098361,0.639344262295082,0.6644368059227921,0.03557738487295049,8
0.0008921623229980469,0.000479506922317953,0.0,0.0,2,20,l1,"{'C': 2, 'max_iter': 20, 'penalty': 'l1'}",,,,,,,,,,,,,37,,,,,,,,,,,,,37,,,,,,,,,,,,,37,,,,,,,,,,,,,37,,,,,,,,,,,,,37
0.0068580865859985355,0.0003328067421636432,0.007701468467712402,0.000669300057115198,2,20,l2,"{'C': 2, 'max_iter': 20, 'penalty': 'l2'}",0.6577480490523968,0.6488636363636363,0.7704545454545455,0.7000000000000001,0.7412587412587414,0.6247086247086246,0.7400932400932402,0.5594405594405595,0.6794871794871794,0.5291375291375291,0.6651192104996453,0.07453023692975533,8,0.7692307692307693,0.46153846153846156,0.6111111111111112,0.5454545454545454,0.5625,0.42857142857142855,0.6428571428571429,0.36363636363636365,0.75,0.5,0.5634899822399823,0.12592776052636656,8,0.43478260869565216,0.2727272727272727,0.5,0.2727272727272727,0.4090909090909091,0.13636363636363635,0.4090909090909091,0.18181818181818182,0.13636363636363635,0.22727272727272727,0.2980237154150197,0.1249905869067411,15,0.5555555555555555,0.3428571428571428,0.55,0.3636363636363636,0.47368421052631576,0.20689655172413793,0.5000000000000001,0.24242424242424246,0.23076923076923075,0.3125,0.37783232974929887,0.1265759938691859,15,0.7419354838709677,0.6290322580645161,0.7096774193548387,0.6612903225806451,0.6721311475409836,0.6229508196721312,0.7049180327868853,0.5901639344262295,0.6721311475409836,0.639344262295082,0.6643574828133263,0.04352056455042586,15
0.0007850408554077148,0.0007109748209033139,0.0,0.0,2,30,l1,"{'C': 2, 'max_iter': 30, 'penalty': 'l1'}",,,,,,,,,,,,,36,,,,,,,,,,,,,36,,,,,,,,,,,,,36,,,,,,,,,,,,,36,,,,,,,,,,,,,36
0.009899401664733886,0.0012378541614587793,0.009157919883728027,0.0010791130491966127,2,30,l2,"{'C': 2, 'max_iter': 30, 'penalty': 'l2'}",0.7068004459308806,0.634090909090909,0.7522727272727272,0.7034090909090909,0.7400932400932401,0.6585081585081586,0.6993006993006994,0.5326340326340326,0.7039627039627039,0.5641025641025641,0.6695174571805007,0.06904141731657673,1,0.7857142857142857,0.5454545454545454,0.6111111111111112,0.5833333333333334,0.625,0.6666666666666666,0.5625,0.35294117647058826,0.6666666666666666,0.5,0.5899387785417198,0.10900098921484114,1,0.4782608695652174,0.2727272727272727,0.5,0.3181818181818182,0.45454545454545453,0.36363636363636365,0.4090909090909091,0.2727272727272727,0.36363636363636365,0.22727272727272727,0.3660079051383399,0.08899339174782402,1,0.5945945945945946,0.3636363636363636,0.55,0.4117647058823529,0.5263157894736842,0.4705882352941177,0.47368421052631576,0.30769230769230765,0.4705882352941177,0.3125,0.4481364442393854,0.09283534105807908,1,0.7580645161290323,0.6612903225806451,0.7096774193548387,0.6774193548387096,0.7049180327868853,0.7049180327868853,0.6721311475409836,0.5573770491803278,0.7049180327868853,0.639344262295082,0.6790058170280275,0.050926973842720685,1
0.0008519411087036133,0.00045216897901326317,0.0,0.0,3,10,l1,"{'C': 3, 'max_iter': 10, 'penalty': 'l1'}",,,,,,,,,,,,,35,,,,,,,,,,,,,35,,,,,,,,,,,,,35,,,,,,,,,,,,,35,,,,,,,,,,,,,35
0.006685113906860352,0.0012118826563513971,0.010923528671264648,0.003408430416155371,3,10,l2,"{'C': 3, 'max_iter': 10, 'penalty': 'l2'}",0.6666666666666666,0.5943181818181819,0.7670454545454545,0.6897727272727272,0.7424242424242424,0.6468531468531468,0.7377622377622377,0.5186480186480187,0.6899766899766899,0.5128205128205129,0.6566287878787878,0.08493785182692296,15,0.6428571428571429,0.46153846153846156,0.6,0.5454545454545454,0.5333333333333333,0.375,0.6153846153846154,0.5,0.8571428571428571,0.5,0.5630710955710956,0.12319686640899644,15,0.391304347826087,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.36363636363636365,0.13636363636363635,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.3073122529644269,0.10948420397494275,8,0.4864864864864865,0.3428571428571428,0.5714285714285713,0.3636363636363636,0.43243243243243246,0.19999999999999998,0.4571428571428572,0.3529411764705882,0.41379310344827586,0.26666666666666666,0.38873848005693845,0.10231656681739876,8,0.6935483870967742,0.6290322580645161,0.7096774193548387,0.6612903225806451,0.6557377049180327,0.6065573770491803,0.6885245901639344,0.639344262295082,0.7213114754098361,0.639344262295082,0.6644368059227921,0.03557738487295049,8
0.0006233692169189453,0.00051162888567595,0.0,0.0,3,20,l1,"{'C': 3, 'max_iter': 20, 'penalty': 'l1'}",,,,,,,,,,,,,34,,,,,,,,,,,,,34,,,,,,,,,,,,,34,,,,,,,,,,,,,34,,,,,,,,,,,,,34
0.007599020004272461,0.0008016567470719921,0.008203864097595215,0.0007563979197733447,3,20,l2,"{'C': 3, 'max_iter': 20, 'penalty': 'l2'}",0.6577480490523968,0.6488636363636363,0.7704545454545455,0.7000000000000001,0.7412587412587414,0.6247086247086246,0.7400932400932402,0.5594405594405595,0.6794871794871794,0.5291375291375291,0.6651192104996453,0.07453023692975533,8,0.7692307692307693,0.46153846153846156,0.6111111111111112,0.5454545454545454,0.5625,0.42857142857142855,0.6428571428571429,0.36363636363636365,0.75,0.5,0.5634899822399823,0.12592776052636656,8,0.43478260869565216,0.2727272727272727,0.5,0.2727272727272727,0.4090909090909091,0.13636363636363635,0.4090909090909091,0.18181818181818182,0.13636363636363635,0.22727272727272727,0.2980237154150197,0.1249905869067411,15,0.5555555555555555,0.3428571428571428,0.55,0.3636363636363636,0.47368421052631576,0.20689655172413793,0.5000000000000001,0.24242424242424246,0.23076923076923075,0.3125,0.37783232974929887,0.1265759938691859,15,0.7419354838709677,0.6290322580645161,0.7096774193548387,0.6612903225806451,0.6721311475409836,0.6229508196721312,0.7049180327868853,0.5901639344262295,0.6721311475409836,0.639344262295082,0.6643574828133263,0.04352056455042586,15
0.0007843017578125,0.0005740079694529034,0.0,0.0,3,30,l1,"{'C': 3, 'max_iter': 30, 'penalty': 'l1'}",,,,,,,,,,,,,33,,,,,,,,,,,,,33,,,,,,,,,,,,,33,,,,,,,,,,,,,33,,,,,,,,,,,,,33
0.008226895332336425,0.0005489103490568163,0.007493805885314941,0.0006792790264380762,3,30,l2,"{'C': 3, 'max_iter': 30, 'penalty': 'l2'}",0.7068004459308806,0.634090909090909,0.7522727272727272,0.7034090909090909,0.7400932400932401,0.6585081585081586,0.6993006993006994,0.5326340326340326,0.7039627039627039,0.5641025641025641,0.6695174571805007,0.06904141731657673,1,0.7857142857142857,0.5454545454545454,0.6111111111111112,0.5833333333333334,0.625,0.6666666666666666,0.5625,0.35294117647058826,0.6666666666666666,0.5,0.5899387785417198,0.10900098921484114,1,0.4782608695652174,0.2727272727272727,0.5,0.3181818181818182,0.45454545454545453,0.36363636363636365,0.4090909090909091,0.2727272727272727,0.36363636363636365,0.22727272727272727,0.3660079051383399,0.08899339174782402,1,0.5945945945945946,0.3636363636363636,0.55,0.4117647058823529,0.5263157894736842,0.4705882352941177,0.47368421052631576,0.30769230769230765,0.4705882352941177,0.3125,0.4481364442393854,0.09283534105807908,1,0.7580645161290323,0.6612903225806451,0.7096774193548387,0.6774193548387096,0.7049180327868853,0.7049180327868853,0.6721311475409836,0.5573770491803278,0.7049180327868853,0.639344262295082,0.6790058170280275,0.050926973842720685,1
0.0007411479949951172,0.000534167301886481,0.0,0.0,4,10,l1,"{'C': 4, 'max_iter': 10, 'penalty': 'l1'}",,,,,,,,,,,,,32,,,,,,,,,,,,,32,,,,,,,,,,,,,32,,,,,,,,,,,,,32,,,,,,,,,,,,,32
0.0054318904876708984,0.0007779931342744149,0.008331203460693359,0.0010281933241839726,4,10,l2,"{'C': 4, 'max_iter': 10, 'penalty': 'l2'}",0.6666666666666666,0.5943181818181819,0.7670454545454545,0.6897727272727272,0.7424242424242424,0.6468531468531468,0.7377622377622377,0.5186480186480187,0.6899766899766899,0.5128205128205129,0.6566287878787878,0.08493785182692296,15,0.6428571428571429,0.46153846153846156,0.6,0.5454545454545454,0.5333333333333333,0.375,0.6153846153846154,0.5,0.8571428571428571,0.5,0.5630710955710956,0.12319686640899644,15,0.391304347826087,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.36363636363636365,0.13636363636363635,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.3073122529644269,0.10948420397494275,8,0.4864864864864865,0.3428571428571428,0.5714285714285713,0.3636363636363636,0.43243243243243246,0.19999999999999998,0.4571428571428572,0.3529411764705882,0.41379310344827586,0.26666666666666666,0.38873848005693845,0.10231656681739876,8,0.6935483870967742,0.6290322580645161,0.7096774193548387,0.6612903225806451,0.6557377049180327,0.6065573770491803,0.6885245901639344,0.639344262295082,0.7213114754098361,0.639344262295082,0.6644368059227921,0.03557738487295049,8
